Episode: 1689, Steps: 460, Reward: -2.925193681379798, FPS: 82
Episode: 1690, Steps: 422, Reward: -3.28223343053815, FPS: 50
Episode: 1691, Steps: 329, Reward: -2.220972500912941, FPS: 27
Episode: 1692, Steps: 381, Reward: -3.3059250364237758, FPS: 25
Episode: 1693, Steps: 381, Reward: -3.014115933430342, FPS: 26
Episode: 1694, Steps: 482, Reward: -3.1305005389766247, FPS: 26
Episode: 1695, Steps: 360, Reward: -2.996100734716837, FPS: 26
Episode: 1696, Steps: 337, Reward: -2.0636676284991635, FPS: 26
Episode: 1697, Steps: 371, Reward: -2.5951081135462313, FPS: 26
Episode: 1698, Steps: 353, Reward: -3.0315563162366024, FPS: 25
Episode: 1699, Steps: 367, Reward: -3.095171930862129, FPS: 26
Episode: 1700, Steps: 536, Reward: -3.731506189573341, FPS: 10
Avg Eval Reward over 100 episodes: -3.1998702000158756
Saving model. Average Eval Reward below 1.8.
... saving checkpoint ...
... saving checkpoint ...
... saving checkpoint ...
... saving checkpoint ...
Episode: 1701, Steps: 653, Reward: -4.324036704523923, FPS: 28
Episode: 1702, Steps: 350, Reward: -2.8568274099774684, FPS: 32
Episode: 1703, Steps: 326, Reward: -2.501889401301887, FPS: 59
Episode: 1704, Steps: 494, Reward: -3.0978571153908487, FPS: 79
Episode: 1705, Steps: 486, Reward: -3.0955381443713996, FPS: 76
Episode: 1706, Steps: 386, Reward: -2.999859990352283, FPS: 88
Episode: 1707, Steps: 414, Reward: -3.0500897030347507, FPS: 78
Episode: 1708, Steps: 226, Reward: -2.251518775964449, FPS: 88
Episode: 1709, Steps: 555, Reward: -3.537654794186641, FPS: 80
Episode: 1710, Steps: 661, Reward: -3.7950501870165962, FPS: 77
Episode: 1711, Steps: 684, Reward: -3.7704947014250982, FPS: 83
Episode: 1712, Steps: 343, Reward: -2.0257350738553437, FPS: 77
Episode: 1713, Steps: 393, Reward: -2.36930342899691, FPS: 82
Episode: 1714, Steps: 636, Reward: -3.941215146078104, FPS: 81
Episode: 1715, Steps: 932, Reward: -5.0537885866676175, FPS: 84
Episode: 1716, Steps: 503, Reward: -3.0916063131004647, FPS: 83
Episode: 1717, Steps: 618, Reward: -4.311631534881474, FPS: 77
Episode: 1718, Steps: 579, Reward: -4.0138982610252025, FPS: 81
Episode: 1719, Steps: 868, Reward: -5.396758073183895, FPS: 73
Episode: 1720, Steps: 337, Reward: -2.875943975768549, FPS: 84
Episode: 1721, Steps: 385, Reward: -2.9164684353858124, FPS: 75
Episode: 1722, Steps: 742, Reward: -4.874387907013632, FPS: 82
Episode: 1723, Steps: 607, Reward: -3.545695840667449, FPS: 84
Episode: 1724, Steps: 507, Reward: -3.240739100290638, FPS: 78
Episode: 1725, Steps: 689, Reward: -4.462814873056705, FPS: 79
Episode: 1726, Steps: 233, Reward: -2.3120922659746217, FPS: 92
Episode: 1727, Steps: 594, Reward: -3.602634556545185, FPS: 77
Episode: 1728, Steps: 337, Reward: -3.227396692851349, FPS: 86
Episode: 1729, Steps: 349, Reward: -2.624501712513667, FPS: 70
Episode: 1730, Steps: 440, Reward: -2.8898024577625456, FPS: 82
Episode: 1731, Steps: 411, Reward: -3.194634651407819, FPS: 74
Episode: 1732, Steps: 810, Reward: -5.260515321569753, FPS: 81
Episode: 1733, Steps: 659, Reward: -4.143577549508143, FPS: 77
Episode: 1734, Steps: 428, Reward: -2.6830840187263165, FPS: 91
Episode: 1735, Steps: 501, Reward: -2.732694053060329, FPS: 77
Episode: 1736, Steps: 360, Reward: -2.6601094569875423, FPS: 85
Episode: 1737, Steps: 659, Reward: -4.213861451941634, FPS: 81
Episode: 1738, Steps: 464, Reward: -3.6012299865552313, FPS: 72
Episode: 1739, Steps: 358, Reward: -2.455821715843822, FPS: 82
Episode: 1740, Steps: 311, Reward: -2.6506579714395158, FPS: 70
Episode: 1741, Steps: 287, Reward: -2.0471260030874667, FPS: 91
Episode: 1742, Steps: 605, Reward: -4.023850060947825, FPS: 80
Episode: 1743, Steps: 500, Reward: -2.9279008636947363, FPS: 85
Episode: 1744, Steps: 340, Reward: -2.562215580369579, FPS: 83
Episode: 1745, Steps: 220, Reward: -2.0009834015414487, FPS: 94
Episode: 1746, Steps: 409, Reward: -2.8591128363622964, FPS: 76
Episode: 1747, Steps: 533, Reward: -3.9189316144523274, FPS: 92
Episode: 1748, Steps: 449, Reward: -3.0264041819241156, FPS: 83
Episode: 1749, Steps: 262, Reward: -2.368521171522703, FPS: 88
Episode: 1750, Steps: 782, Reward: -4.915718231680132, FPS: 81
Episode: 1751, Steps: 570, Reward: -3.3794031469687935, FPS: 77
Episode: 1752, Steps: 270, Reward: -2.3377934046892612, FPS: 82
